,company_name,address,telephone,fax,email,website,contact_person
183,"SCHENKER ( THAI ) CO., LTD.","3388/54-61, 66-67 Sirinrat Building, 16th, 17th ,19th  Floor, Rama 4 Road, Klongton, Klongtoey, Bangkok 10110",662-269-6500 ,662-367-5351 ,Pachara.mekwimol@dbschenker.com,http://www.schenker.co.th,MR. PACHARA MEKWIMOL  
184,"SEA & AERO LOGISTICS CO., LTD.","719, KPN TOWER, 23 FLOOR, RAMA 9 RD.,
BANGKAPI, HUAY KWANG
BANGKOK  10310",662-717-1166 ,662-717-1169 ,surachai@seaaero.co.th,http://www.seaaero.co.th,Mr. Surachai Pongpensuk 
185,"SEABRA TRANS INTERNATIONAL CO., LTD.","116/94 - 95  SSP TOWER  II, 25th  FL.,NA-RANONG  ROAD ,  
KLONGTOEY , BKK  10110.",662-697-4999 ,662-671-0800 ,seabra@seabratrans.com,http://www.seabra.co.th/,"MS. NALIN VIPUSANAMUNGKLA,MS THIDARAT CHANTHAI "
186,"SEAGATE LOGISTICS (THAILAND) CO.,LTD.","888 I-TOWER BLDG., 11th FLOOR, VIBHAVADI-RANGSIT RD., CHATUCHAK, CHATUCHAK, BANGKOK 10900",662-554-9761-3 ,662-513-3401 ,bkkacct@seagatelogistics.com,http://www.seagatelogistics.com,MS. SUPHAK CHOOIT 
187,"SERENE AGENCY CO.,LTD.","1000/25-26 10TH FL., LIBERTY PLAZA BUILDING, SOI THONGLOR, SUKHUMVIT 55 ROAD, KLONGTON NUA, WATTANA, BANGKOK,10110",02-713-1920-4 ,02-713-3735 ,"sereneagencybkk@gmail.com, tikporn@loxinfo.co.th",,MR. MANIK YARUNGSEE 
188,"SGL LOGISTICS MANAGEMENT CO.,LTD.","77-90-91 SINNSATHORN TOWER, 22ND FLOOR KRUNGDHONBURI ROAD, KLONGTONSAI, KLONGSARN, BANGKOK, 10600",02-8623092-4 ,02-8623091 ,thanrawee@sgl-logistics.com,http://www.sgl-logistics.com,MS. THANRAWEE PIPITTEERATHAYAKUL 
189,SHIP-LOG (THAILAND) LTD.,"1258/34 River View Place Building D, 5th Floor, Rama 3 Road, Chongnonsee, Yannawa, Bangkok 10120",662-294-9381-4 ,662-294-9398 ,chsu@ship-log.com,http://www.ship-log.com,MS. ORANUCH THAPTHIMPRIA 
190,SHIPCO TRANSPORT (THAILAND) LTD.,"4345 Bhiraj Tower at BITEC, 21st Fl., Sukhumvit Road, South Bangna, Bangna, Bangkok 10260",662-026-3889 , ,bkk@shipco.com,http://www.shipco.com,"Mr.Erik A. Thomle, Ms.Lilly Mongkolratch "
191,"SIAM ANGLO TRANS CORP., LTD.","3366/37 SOI MANOROM, RAMA 4 ROAD, KWAENG KLONGTON,
KHET KLONGTOEY, BANGKOK  10110",+66 02 672 7055 ,+66 02 671 6793-4 ,pitak@siamanglotrans.com,http://www.siamanglotrans.com,MR. AKANUTT CHANPUPLASOOK 
192,"SIAM KARGO LOGISTICS CO., LTD.","522/165 SOI SAPTHANI ASOKE-DINDAENG RD.,
DINDAENG, BANGKOK 10320",662-247-0088 ,662-246-6460 ,"kanyanat@siamkargo.com , kanokporn@siamkargo.com,",http://www.siamkargo.com,MR. SURADEJ KIJPITAK 
193,"SIAM NISTRANS CO.,LTD.","191/68-69 CTI TOWER FLOOR15, RATCHADAPISEK ROAD, KLONGTOEY, BANGKOK 10110","662-261-1080, 662-261-5343-7 ",662-261-1024 ,sutisa@th.nissin-asia.com,http://www.nissin-tw.co.jp/nissine/index_e.html,"MRS. SUTISA PEERAYUTH, MS. ROMMANEEYA JUBOONSONG "
194,"SILVER LINE LOGISTICS CO.,LTD","1000/35 P.B. TOWER 10 TH FLOOR, SUKHUMVIT 71 RD.,NORTH  KLONGTAN, WATTANA, BANGKOK  10110.",662-391-7750 (AUTO) ,662-391-7751 ,teerapun@silverline.co.th,,MR.TEERAPUN TANGPINITCHIT 
195,"SINO LOGISTICS CORPORATION CO.,LTD.","1011 SUPALAI GRAND TOWER UNIT 05 7th FLOOR, RAMA 3 ROAD, CHONGNONSEE, YANNAWA, BANGKOK 10120",02-687-0477 ,02-687-0486 ,nanmanus.w@sinoconnections.com,http://www.sinoconnections.com,Nanmanus Witthayasakpant 
196,"SINSIMON ENTERPRISE CO., LTD.","129 ANAMAI-NGAMCHAROEN ROAD, 
THA-KHAM, BANGKHUNTIEN, BANGKOK  10150",662-417-0581-6 ,662-417-0587 ,amporn@ssmenterprise.com,,MR.AMPORN MAIPRASERT 
197,"SITTHI LOGISTICS (THAILAND) CO.,LTD.","999/240-241 Moo 12 T.Mueangkhao, A.Mueangkhonkaen, Khonkaen 40000 Thailand","043-471-828,471-829 ",043-471-827 ,"mboliban282@gmail.com,giftzeeza1234@gmail.com,sitt",,MR. MONTREE BORIBAN 
198,SONIC INTERFREIGHT PUBLIC COMPANY LIMITED,"79/349-350 1st and 2nd Floor 
Sathupradit Rd., Chongnonsee, Yannawa, Bangkok -10120",662-213-2999 ,662-213-2499 ,santisuk@sonic.co.th,http://www.sonic.co.th,MR.SUNTISUK K.ARPANANT 
199,"SPEEDMARK TRANSPORTATION (THAILAND) CO., LTD.","121/73 ,RS Tower ,23rd Floor , Ratchadapisek Road,
Dindeang , Bangkok 10400 ",662-642-2888 ,662-642-2689-91 ,anusorn@speedmark.co.th,http://www.speedmark.com,Mr. Anusorn Puengporn 
200,"STAR OVERSEAS CO.,LTD.","662/52 SOI SUKHUMVIT 50, PRAKHANONG, KLONGTOEY, BANGKOK 10110",02-108-7433-35 ,02-108-7436 ,chotipha.s@staroverseas.co.th,,MS. CHOTIPHA SUPUKNITCHAKUL 
201,"T-SAVE CO., LTD.","2024/161 RIMTHANGRODFAI, PAKNAM RD.,
PRAKANONG, KLONGTOEY, BANGKOK 10260",662-742-9710 ,662-742-9491 ,tsave@truemail.co.th,,MR. TRETHIP LIMSAVARN 
202,"T.M.T.OCEAN SERVICE CO., LTD.","91 Soi Intanara 18, Vibhavadee Rangsit Rd., Ratchadaphisek, Din Deang, Bangkok 10400",662-690-8060 ,662-690-8033 ,tmtbkk@tmtcargo.com,http://www.tmtcargo.com,MR.PORNCHAI TATIYANUPARP 
203,"T.V.L. GLOBAL LOGISTICS (T) CO.,LTD.","11/4 RATCHADAPISEK ROAD, CHONGNONSI, YANNAWA, 
BANGKOK   10120",(662) 678-1685 ,"(662) 678-2473, 2254, 1753 ",piya@tvlthailand.co.th,http://www.tvlgroups.com,MR.PIYA KUSOLMANOSUK 
204,"TAC OCEAN FREIGHT CO., LTD.","NO.1,  5th  FL.,  TAC  HOUSE , SOI  RUAMRUDI , PLOENCHIT  RD. LUMPINI ,PATHUMWAN  BANGKOK  10330.",662-650-8061-9 ,662-650-8070-1 ,tacocean@loxinfo.co.th,,MR.CHANCHAI TUVATTANAVANIT 
205,"Ti2 Shipping ( Thailand ) Co.,Ltd","65, 42 TOWER BUILDING, 10TH FLOOR, ROOM 1003, SOI SUKHUMVIT 42 (KLUAYNAMTHAI), SUKHUMVIT RD., PRAKANONG, KLONGTOEY, BANGKOK 10110",02-089-1434 , ,,http://ti2-thshipping.com/,MR. NAWIN CHANGPIROM  
206,"TRANCY LOGISTICS (THAILAND) CO.,LTD","888/187-189 MAHATUN PLAZA 18 FL., PLOENCHIT RD., PATHUMWAN, BANGKOK 10330",662-253-6782 ,662-254-4988 ,kanitta@trancy.co.th,, 
207,"TRANS UNITED LOGISTICS CO., LTD.","683/10 SOI SATHUPRADIT 57 YAEK 3-4, SATHUPRADIT ROAD, BANGPONGPANG, YANNAWA, BANGKOK 10120","662-294-2679,682-4560-61 ",662-682-4563 ,waroonyupa.u@tulogistics.com,http://www.tulogistics.com,MS. WAROONYUPA UTHAIPATTARAKUL 
208,"TRANS-MAKER CO.,LTD.","41/2 Soi Athakravi 1, Rama 4 Road,
Klongton, Klongtoey, Bangkok 10110 Thailand",662-2597530 ,662-2597532 ,tmkdoc@trans-maker.com,http://www.trans-maker.com,Ms. Mayuree Lekklang 
209,"TRANSCONTAINER LOGISTICS (THAILAND) CO., LTD.","23/11-12 SORACHAI BLDG., 11th FLOOR, 
SOI SUKHUMVIT 63, SUKHUMVIT RD.,
KLONGTON-NUA, VADHANA, BANGKOK 10110",662-714-3080 ,662-714-3094-5 ,suchadac@tcl.co.th,,MS.SUCHADA CHAIYARAJ 
210,TRIPLE I LOGISTICS PUBLIC COMPANY LIMITED,"3RD FLOOR, SCG BUILDING,
631 NONSEE RD.,
CHONGNONSEE, YANNAWA
BANGKOK 10120 THAILAND",662-681-8700 ,662-681-8701 ,amy@iii-interfreight.com,,MS. SHUTIMA BORIPATKOSOL 
211,"TS TRANSMEGA CO., LTD.","91/1 CHAIYO BUILDING, FLOOR 7 ,RAMA 9 ROAD, HUAYKWANG, HUAYKWANG ,BANGKOK 10310  THAILAND",662-643-8050 ,662-643-8051 ,niphon@tstransmega.co.th,http://tucksun.com/,MR. NIPHON SANGKHAJAN  
212,"UNI-INTER TRANSPORT CO., LTD.","717 SOI SUKHUMVIT 50, SUKHUMVIT ROAD, PHARKANONG, KLONGTOEY, BANGKOK 10260, THAILAND",662-742-8350 ,662-742-8360 ,prayat@uniinter.co.th,http://www.uniinter.co.th,Mr. Prayat Limsupanark 
213,"UNIQUE INTERNATIONAL FORWARDING CO., LTD.","514/14 Regent Ratchada, Soi Ramkhamhaeng 39 (Theplila 1), Khwang Wangthonglang, Khet Wangthonlang, Bangkok 10310",662-158-2560 - 67 (12 Lines) ,662-158-2588 - 89 ,yupaporn@uif-forwarding.com,,MS. YUPAPORN RINTHARA 
214,"UNITED MARINE LOGISTICS CO.,LTD. (UMAC.)","11/11 RATCHADAPISEK RD., CHONGNONSEE, YANNAWA, BANGKOK 10120 THAILAND.",662-678-2111 (auto) ,662-678-2644-6. ,satanan@umac.co.th,http://www.umac.co.th,MR. SATANAN WITHITKUN. 
215,UNITED THAI SHIPPING CORPORATION LIMITED,"25 ALMALINK BUILDING (11 th FLOOR) SOI CHILOM, PHLOENCHIT ROAD, LUMPHINI, PATHUMWAN, BANGKOK 10330",(66) 2254 8400 ,(66) 2255 1155 ,phatthiya.p@unithai.com,http://www.unithai.com,MS.PHATTHIYA PHUMMARIN 
216,"UNIVERSE LOGISTICS INTERNATIONAL CO.,LTD.","71/30 Barom-ratchonanee Road, Aroon-amrin, Bangkoknoi, Bangkok 10700",662-884-8666 ,662-884-7752 ,gun@universeloggroup.com,http://www.universelogisticsgroup.com,MR. GUN NIRAMANSAKUL 
217,"UNLIMITED EXPRESS (THAILAND) CORP., LTD.","NO.23/17-18, 12th FLOOR, SORACHAI BLDG.,
SOI SUKHUMVIT 63, SUKHUMVIT RD., 
NORTH KLONGTON, WATTANA, BANGKOK 10110",662-381-7575 (24 LINES) ,"662-391-4969, 391-4979 ",general@uecbkk.com,http://www.uecgroup.com,MRS.JIDAPA ARCHAWAKUN 
218,"UTMOST LOGITEC(THAILAND) CO.,LTD.","1350/144-145 Thai Roung Tower Bldg., 10th Floor, Pattanakarn Road, Suan Luang, Bangkok 10250 Thailand",662-013-5716  ,662-013-5716  ,worawit@utmost.co.th,,MR. WORAWIT MEKRAKSAWANICH 
219,"V-LINK EXPRESS CO.,LTD.","467/1, 6 TH FLOOR, MONGKOL BUILDING, RAMA 3 ROAD., BANGKHLO, BANGKORLAEM, BANGKOK  10120, THAILAND",662-051-9988 (HUNTING) ,662-059-4801 & 2 ,cs2@vlinkexpress.com;acct@vlinkexpress.com,http://vlinkexpress.com/,MR. MONGKOL PANPHOONSUP 
220,V-SERVE SEA & LAND LTD.,"709/54-55 4th FLOOR, ONNUCH SOI SUKHUMVIT 77,SUANLUANG, SUANLUANG, BANGKOK  10250",662-332-3940-9 ,662-332-0754-6 ,thida@v-servegroup.com,,MR.TANIT SORAT 
221,"V. CARGO CO., LTD.","9/233-234 Soi Paholyothin 48, Paholyothin Rd., Anusavaree, Bangkhen, Bangkok 10220","662-971 4227-9, 662-955 7725-28 ","662-971 3974, 662-552 8601 ",info@vcargo.co.th,http://www.vcargo.co.th,Khun Nattakan Puprasert 
222,"V. PACK & MOVE (BANGKOK) CO., LTD.","90/1 Moo.4, T.Bangchalong, A.Bangplee Samutprakarn
10540 Thailand",662-750-9555 ,662-750-9556-7 ,vpack@vpackmove.com,http://www.vpackmove.com,Mr.Nuttacom Rungrassamee 
223,"VANGUARD LOGISTICS SERVICES (THAILAND) CO., LTD.",, , ,,, 
224,"VEGA WORLD (THAILAND) CO.,LTD.","106/35-36 MOO 9, THUNGSUKLA, SRIRACHA, CHONBURI 20230",038-110-931-2 ,- ,cs@vegaworldthailand.com,,MRS. RACHANEE SUPHAPRASERT 
225,"VICTOR RICHER TRANS CO.,LTD.","39/35 SIRI SQUARE, SOI CHAROENKRUNG 80, BANGKHOLAEM, BANGKOK 10120",02-126-7888 ,02-126-7890 ,account@vrtrans.com,http://www.vrtrans.com,MRS. KULLAKARN KULLAPATCHPARINYA 
226,"WAKO LOGISTICS (THAILAND) CO., LTD.","75/18 Ocean Tower 2 Bldg, 16th Fl., Sukhumvit 19 (Wattana),
Klongtoey Nua, Wattana, Bangkok 10110",662 665 2864-9  ,662 665 2870 ,info@wakologistics.co.th,http://www.wakologistics.co.th, 
227,"WEIMING LOGISTICS & SHIPPING CO., LTD.","90 CW TOWER, TOWER B, 25th FLOOR, UNIT B2501, RATCHADAPHISEK ROAD, HUAI KWANG, HUAI KWANG, BANHKOK 10310 ","02-168-3202,3204,3205 ",02-168-3274 ,shipping@weimingth.com,,MS. PORNPIMON TIMGAR  
228,"WELL GROWTH INTERNATIONAL (THAILAND) CO., LTD.","No.324/30,31,32 BANGNA RESIDENCE BUILDING, 1ST FLOOR,SANPAWUT ROAD,BANGNA NUA,BANGNA,BANGKOK 10260 ","662-117-3407-8, 662-117-3426 ",662-117-3427 ,wlgiops@wellgrowth.co.th,,MS. JIRANUN KONKLA 
229,"WHALE LOGISTICS (THAILAND) CO.,LTD.","919/229 MOO 12, TUNGSUKHLA, SRIRACHA, CHONBURI 20230",038-350-423 ,038-350-421 ,info@whale-logistics.com,,MR. TEERACHIT SONJANG 
230,WICE LOGISTICS PUBLIC COMPANY LIMITED,"88/8  NONSEE  ROAD , 
CHONG-NONSEE YANNAWA , 
BANGKOK 10120
THAILAND",662-681-6181 ,662-681-6173-5 ,bkksea1@wice.co.th,http://www.wice.co.th,MS.ARAYA KONGSOONTHORN 
